id,current_month,id,logins_current_month,country,traffic_type,platform,ads_shown_current_month,ads_revenue_current_month,revenue_current_month,games_pvp,wins_pvp,quests,hard_quests,current_passed_level,offers,currency_1,currency_2,currency_3,currency_4,currency_5,currency_6,currency_7,current_avg_ping,current_month,ads_revenue_next_month,revenue_next_month,is_active_next_month,months_after_reg
6,2025-04,6,29,133,organic,Android,66,0.040797325069434,0.0,221,109,201,17,63,0,0,0,0,0,0,0,0,0.2770338654518127,2025-04,0.0,0.0,False,3
10,2025-04,10,30,164,paid,iOS,781,26.512755688279867,121.3582473397255,401,234,390,23,104,5,7579,165,3340,85,220,97750,5350,0.049058761447668,2025-04,0.0,0.0,False,1
11,2025-04,11,7,93,organic,Android,3,0.0213891344610601,0.0,20,11,45,1,12,0,0,0,0,0,0,0,0,0.3258494436740875,2025-04,0.0,0.0,False,0
18,2025-04,18,9,112,organic,iOS,67,2.316753428429365,5.058956623077393,97,63,175,10,39,0,0,0,0,0,0,0,0,0.3963805139064789,2025-04,0.0,0.0,False,0
23,2025-04,23,13,67,paid,Android,19,0.1454495708458125,0.0,114,58,190,11,32,0,0,0,0,0,0,0,0,0.2094841003417968,2025-04,0.0,0.0,False,1
29,2025-04,29,1,161,organic,iOS,1,0.0029119080863893,0.0,10,8,44,1,40,0,0,0,0,0,0,0,0,0.4002569913864136,2025-04,0.0,0.0,False,1
39,2025-04,39,1,67,organic,Android,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2025-04,0.0,0.0,False,0
40,2025-04,40,2,153,paid,Android,0,0.0,0.0,1,1,3,0,0,0,0,0,0,0,0,0,0,0.4122243821620941,2025-04,0.0,0.0,False,0
43,2025-04,43,3,109,paid,Android,25,0.0459209925902541,0.0,6,5,14,1,7,0,0,0,0,0,0,0,0,0.1115875244140625,2025-04,0.0,0.0,False,0
50,2025-04,50,5,153,paid,Android,6,0.0564125496894121,0.0,39,21,119,6,22,6,250,350,0,0,0,0,0,0.4050688147544861,2025-04,0.0,0.0,False,0
59,2025-04,59,2,50,organic,iOS,5,0.056003151461482,0.0,3,1,15,0,2,0,0,0,0,0,0,0,0,0.1908192932605743,2025-04,0.0,0.0,False,7
62,2025-04,62,1,153,organic,iOS,2,0.0044445819221436,0.0,15,7,52,1,44,0,0,0,0,0,0,0,0,0.3961460590362549,2025-04,0.0,0.0,False,1
63,2025-04,63,4,133,paid,Android,0,0.0,0.0,5,3,6,1,0,0,0,0,0,0,0,0,0,1.4035483598709106,2025-04,0.0,0.0,False,6
